paper_id,reviewer,Human_Actionability,Human_Clarity_and_Readability,Human_Comprehensiveness,Human_Constructiveness,Human_Factuality,Human_Fairness,Human_Objectivity,Human_Overall_Quality,Human_Politeness,Human_Relevance_Alignment,Human_Sentiment_Polarity,Human_Usage_of_Technical_Terms,Human_Vagueness,Qwen_Actionability,Qwen_Clarity_and_Readability,Qwen_Comprehensiveness,Qwen_Constructiveness,Qwen_Factuality,Qwen_Fairness,Qwen_Objectivity,Qwen_Overall_Quality,Qwen_Politeness,Qwen_Relevance_Alignment,Qwen_Sentiment_Polarity,Qwen_Usage_of_Technical_Terms,Qwen_Vagueness,Llama_Actionability,Llama_Clarity_and_Readability,Llama_Comprehensiveness,Llama_Constructiveness,Llama_Factuality,Llama_Fairness,Llama_Objectivity,Llama_Overall_Quality,Llama_Politeness,Llama_Relevance_Alignment,Llama_Sentiment_Polarity,Llama_Usage_of_Technical_Terms,Llama_Vagueness,GPT_Actionability,GPT_Clarity_and_Readability,GPT_Comprehensiveness,GPT_Constructiveness,GPT_Factuality,GPT_Fairness,GPT_Objectivity,GPT_Overall_Quality,GPT_Politeness,GPT_Relevance_Alignment,GPT_Sentiment_Polarity,GPT_Usage_of_Technical_Terms,GPT_Vagueness,Phi_Actionability,Phi_Clarity_and_Readability,Phi_Comprehensiveness,Phi_Constructiveness,Phi_Factuality,Phi_Fairness,Phi_Objectivity,Phi_Overall_Quality,Phi_Politeness,Phi_Relevance_Alignment,Phi_Sentiment_Polarity,Phi_Usage_of_Technical_Terms,Phi_Vagueness
191,Reviewer-Zre9,3,2,3,2,partially factual,3,3,30,neutral,3,negative,2,moderate,4,4,3,4,partially factual,4,3,65,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
4,Epari-Venkatarao,5,5,5,5,factual,5,5,93,neutral,5,negative,5,none,4,4,3,4,factual,3,4,70,neutral,5,negative,4,moderate,2.0,5.0,3.0,3.0,partially factual,3.0,4.0,60.0,polite,4.0,neutral,4.0,low,4,4,4,4,factual,4,4,75,neutral,5,negative,4,low,4,4,4,4,partially factual,4,3,78,neutral,5,negative,3,low
4,Deepak-Kumar,5,5,5,4,factual,5,5,89,polite,5,negative,5,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,60.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,negative,4,low,3,4,4,4,partially factual,4,4,78,neutral,5,negative,3,low
144,Reviewer-99Tt,4,4,4,4,factual,4,5,90,polite,4,positive,5,low,5,5,5,5,factual,5,5,100,polite,5,positive,5,none,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,4,4,4,5,factual,4,4,85,polite,5,positive,5,low,4,4,4,5,factual,4,4,92,polite,5,positive,5,low
144,Reviewer-4nHF,2,4,3,2,partially factual,2,3,40,impolite,3,negative,2,moderate,3,5,4,4,factual,4,4,75,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,2,4,3,2,factual,4,4,60,neutral,4,neutral,4,low,3,4,3,3,partially factual,4,4,75,polite,5,neutral,4,low
144,Reviewer-PpGy,4,4,4,4,factual,4,4,80,polite,4,neutral,4,low,4,5,4,4,factual,4,4,85,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,none,3,5,4,3,factual,4,4,80,polite,5,neutral,5,low,3,4,3,4,factual,4,4,85,polite,5,neutral,4,low
144,Reviewer-pToC,4,4,4,4,factual,4,4,75,polite,4,negative,4,low,4,4,4,4,factual,4,4,65,polite,5,negative,5,moderate,2.0,1.0,2.0,3.0,partially factual,4.0,4.0,60.0,neutral,4.0,negative,3.0,moderate,4,2,3,4,factual,3,3,60,neutral,4,negative,3,low,4,2,3,4,partially factual,3,3,60,neutral,5,negative,4,low
147,Reviewer-GYKR,2,3,3,2,factual,4,4,55,polite,4,positive,3,moderate,4,5,4,5,5,5,5,90,polite,5,positive,5,moderate,3.0,4.0,5.0,4.0,factual,5.0,4.0,90.0,polite,5.0,positive,4.0,none,2,4,4,2,factual,4,4,75,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
147,Reviewer-NBus,5,5,4,4,factual,5,5,75,polite,5,neutral,5,none,4,4,4,4,partially factual,4,4,75,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
147,Reviewer-ARok,3,4,3,3,factual,4,3,65,neutral,4,neutral,3,low,4,4,4,5,partially factual,5,5,85,polite,5,neutral,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,3,4,4,4,factual,4,4,80,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,4,low
147,Reviewer-LLss,5,5,5,4,factual,5,5,80,polite,5,neutral,5,none,4,4,4,4,partially factual,4,5,75,polite,5,neutral,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,4,low,2,4,3,4,partially factual,3,3,75,polite,5,neutral,4,low
125,Elizaveta-Kon,2,3,2,2,factual,4,4,75,neutral,4,negative,4,moderate,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,factual,4,4,85,polite,5,neutral,5,low
125,Nicola-Maffulli,1,2,1,2,unfactual,2,0,40,polite,3,positive,1,extreme,2,4,3,2,partially factual,2,2,45,impolite,4,negative,4,none,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,1,3,2,1,partially factual,3,2,40,neutral,3,neutral,3,moderate,1,4,3,2,partially factual,3,2,55,neutral,4,negative,4,low
125,Marco-Patruno,1,3,1,2,unfactual,1,1,45,neutral,3,neutral,2,extreme,4,5,4,4,factual,4,4,75,polite,5,positive,3,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,2,4,3,3,factual,4,3,60,polite,4,positive,3,low,3,4,3,4,partially factual,3,4,75,polite,5,neutral,4,low
124,Dharma-Varapula,5,4,4,5,partially factual,5,4,75,polite,5,neutral,4,low,4,4,4,4,partially factual,4,4,85,polite,4,neutral,5,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,60.0,polite,5.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,5,low,4,4,3,4,partially factual,3,3,75,polite,5,neutral,4,low
124,Xihao-Li,4,4,3,5,factual,5,5,65,polite,5,neutral,4,low,5,5,4,5,factual,4,4,90,polite,5,positive,5,moderate,3.0,5.0,5.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,4.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,5,4,4,factual,4,4,85,polite,5,neutral,5,low
118,Pavel-Klinov,4,5,5,4,factual,4,5,89,neutral,4,neutral,4,none,5,4,5,5,factual,5,5,85,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,5,4,5,5,factual,5,5,90,polite,5,neutral,5,none,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
177,Maarten-Franciscus-Schim-van-der-Loeff,2,4,2,1,partially factual,3,2,50,polite,3,positive,2,moderate,5,5,4,5,factual,5,5,95,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,5.0,90.0,polite,5.0,positive,4.0,none,3,5,4,4,factual,5,4,85,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
159,Reviewer-aUSe,3,4,2,2,partially factual,3,4,50,polite,3,negative,3,moderate,4,4,4,4,factual,4,4,82,polite,5,neutral,5,moderate,3.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,neutral,3.0,none,3,4,3,3,factual,4,4,70,polite,4,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
159,Reviewer-59Jp,5,5,5,5,factual,4,4,90,polite,5,neutral,5,low,5,5,4,5,5,5,5,85,polite,5,neutral,5,low,3.0,4.0,4.0,2.0,factual,4.0,4.0,70.0,polite,5.0,positive,3.0,low,4,5,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
159,Reviewer-5d1P,5,5,5,5,factual,4,4,95,polite,4,neutral,5,low,5,5,4,5,partially factual,5,5,85,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,3.0,4.0,70.0,polite,5.0,positive,5.0,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,5,5,4,5,partially factual,4,4,88,polite,5,neutral,5,low
159,Reviewer-Ks5C,2,3,2,3,factual,3,2,65,polite,4,negative,4,low,4,5,4,4,factual,4,4,88,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,3.0,4.0,80.0,polite,5.0,neutral,5.0,none,4,5,4,4,factual,4,4,85,polite,5,neutral,5,low,3,5,4,4,partially factual,4,4,85,polite,5,neutral,5,low
91,Reviewer-oZBs,4,4,4,4,factual,4,4,80,polite,4,negative,4,low,4,4,4,4,partially factual,4,4,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,4.0,factual,3.0,4.0,80.0,polite,5.0,neutral,5.0,low,4,4,4,4,factual,4,4,85,neutral,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
91,Reviewer-pVGE,3,3,3,2,factual,2,2,60,neutral,3,negative,3,low,5,4,4,5,partially factual,5,5,85,5,5,neutral,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,low,4,4,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,partially factual,4,3,85,polite,5,neutral,4,low
91,Reviewer-CubV,3,3,2,3,factual,3,3,65,polite,3,neutral,3,moderate,5,5,4,5,5,5,5,90,5,5,5,5,none,3.0,5.0,5.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,4.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,5,low,3,5,4,4,factual,4,4,88,polite,5,positive,5,low
91,Reviewer-nSBj,4,4,5,3,factual,4,5,90,polite,5,negative,5,none,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,1.0,4.0,4.0,4.0,partially factual,3.0,2.0,60.0,polite,5.0,neutral,3.0,low,4,3,4,4,factual,4,4,80,neutral,5,neutral,5,low,3,3,4,4,partially factual,4,4,78,polite,5,neutral,5,low
170,Sangeeta-Saha,2,1,3,3,partially factual,4,4,60,neutral,4,negative,3,moderate,5,4,4,5,partially factual,4,5,75,polite,5,negative,5,moderate,2.0,4.0,3.0,3.0,partially factual,3.0,4.0,60.0,polite,4.0,neutral,4.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,4,4,3,4,partially factual,3,3,70,neutral,5,negative,4,low
170,J-H-Arias-Castro,2,1,3,3,partially factual,4,4,60,neutral,4,negative,3,moderate,2,4,3,2,partially factual,3,3,45,impolite,5,negative,5,low,1.0,4.0,3.0,2.0,partially factual,3.0,2.0,60.0,neutral,4.0,negative,4.0,low,2,4,3,2,factual,3,4,60,neutral,4,negative,3,low,2,4,3,3,partially factual,3,3,65,neutral,4,negative,4,low
127,Yankai-Xia,4,4,4,4,factual,4,4,80,polite,4,neutral,4,low,4,4,3,4,factual,4,4,75,polite,4,neutral,4,low,2.0,4.0,3.0,3.0,factual,3.0,4.0,70.0,polite,4.0,neutral,4.0,low,4,4,3,4,factual,4,4,80,polite,4,neutral,4,low,3,3,3,4,partially factual,4,4,75,polite,4,neutral,4,low
127,Amitava-Mukherjee,4,4,4,4,factual,4,4,80,polite,4,neutral,4,low,4,4,2,4,partially factual,4,4,65,polite,4,neutral,3,low,2.0,5.0,3.0,3.0,partially factual,3.0,4.0,70.0,polite,4.0,neutral,4.0,low,5,4,4,5,partially factual,4,4,80,polite,4,positive,4,low,4,5,3,4,partially factual,4,3,78,polite,4,neutral,4,low
59,Reviewer-4HBq,1,4,3,0,partially factual,3,1,68,polite,4,negative,4,moderate,4,5,4,5,factual,5,5,88,polite,5,positive,5,none,2.0,4.0,4.0,4.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,3,5,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
59,Reviewer-rzXY,1,4,4,0,unfactual,3,1,64,polite,3,positive,3,high,5,5,5,5,5,5,5,95,5,5,5,5,3,2.0,4.0,4.0,3.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
59,Reviewer-4k11,0,4,2,0,unfactual,2,0,44,polite,2,negative,3,high,4,3,3,4,partially factual,3,3,55,impolite,5,negative,4,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,3.0,60.0,polite,4.0,neutral,3.0,low,3,4,4,3,factual,3,4,70,neutral,5,negative,4,low,2,4,3,4,partially factual,3,3,70,polite,4,neutral,4,low
59,Reviewer-NrtU,1,3,2,1,unfactual,3,2,38,polite,2,neutral,4,high,4,4,4,4,5,4,5,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,4.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,partially factual,4,3,85,polite,5,positive,3,low
168,Reviewer-XYg3,5,4,4,5,factual,4,4,85,neutral,4,negative,4,none,5,5,5,5,partially factual,5,5,88,polite,5,negative,5,moderate,2.0,4.0,3.0,3.0,partially factual,3.0,4.0,70.0,polite,4.0,neutral,4.0,low,5,5,5,5,factual,5,5,95,polite,5,negative,5,none,5,4,4,4,partially factual,4,3,85,neutral,5,negative,5,low
168,Reviewer-tePx,2,3,2,3,partially factual,2,3,50,neutral,3,negative,3,moderate,3,3,3,2,partially factual,3,2,55,neutral,4,negative,3,moderate,2.0,3.0,3.0,3.0,partially factual,3.0,4.0,60.0,polite,4.0,neutral,4.0,low,2,2,3,2,partially factual,3,3,50,neutral,4,negative,3,moderate,2,3,3,3,partially factual,3,3,65,polite,4,neutral,4,low
168,Reviewer-hsiV,1,4,3,4,partially factual,3,2,45,neutral,3,negative,2,low,4,3,3,3,partially factual,4,3,55,neutral,5,negative,5,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,60.0,polite,4.0,neutral,3.0,low,2,3,3,2,partially factual,3,3,50,neutral,4,negative,4,moderate,2,4,3,3,partially factual,3,3,60,neutral,4,negative,4,low
168,Reviewer-TnGf,3,4,3,3,factual,3,3,55,neutral,4,neutral,2,low,4,5,4,4,factual,4,4,85,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,3,4,partially factual,3,4,75,polite,5,neutral,4,low
115,Reviewer-HXMa,4,5,4,5,partially factual,4,4,87,neutral,4,positive,4,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,low,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,neutral,3,low
115,Reviewer-7W7v,1,4,1,0,unfactual,3,4,20,polite,2,positive,1,high,3,4,4,4,partially factual,4,4,75,polite,5,neutral,4,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,3,4,3,3,factual,4,4,70,polite,4,neutral,3,low,2,4,3,4,partially factual,3,3,70,polite,4,neutral,4,low
115,Reviewer-duEY,3,4,3,2,factual,4,4,75,neutral,4,positive,3,none,4,4,4,4,partially factual,4,4,85,polite,5,positive,5,moderate,3.0,5.0,5.0,4.0,factual,5.0,4.0,80.0,polite,5.0,positive,4.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
115,Reviewer-DYrH,4,4,4,4,factual,3,4,84,neutral,4,negative,4,low,4,4,4,4,factual,4,4,85,polite,5,neutral,4,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,3,4,4,3,factual,4,4,80,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
115,Reviewer-sFvB,4,4,2,3,factual,3,3,62,neutral,4,negative,4,moderate,5,5,5,5,factual,5,5,95,polite,5,positive,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,4,4,4,4,factual,4,4,80,polite,5,positive,3,low,3,4,4,4,partially factual,4,4,85,polite,5,positive,3,low
154,Reviewer-5GRr,3,4,4,4,factual,4,3,85,polite,4,neutral,4,low,4,5,4,4,factual,5,5,88,polite,5,positive,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,5,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
154,Reviewer-MiyQ,3,4,3,3,partially factual,4,4,70,polite,4,neutral,3,low,5,5,4,5,partially factual,5,5,85,polite,5,neutral,5,moderate,3.0,5.0,5.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,4.0,none,3,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,5,4,4,factual,4,4,88,polite,5,positive,5,low
154,Reviewer-tK15,1,4,1,2,partially factual,2,1,40,polite,3,negative,1,moderate,4,3,3,4,partially factual,3,3,65,polite,5,neutral,3,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,3,3,2,3,partially factual,3,3,50,polite,3,neutral,3,moderate,4,4,3,4,partially factual,3,3,75,polite,4,neutral,4,low
154,Reviewer-Ajy4,3,3,4,4,factual,2,4,75,neutral,4,negative,4,low,2,3,3,3,partially factual,4,4,55,polite,4,neutral,4,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,3,4,4,3,factual,4,4,75,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
27,Prajwal-Ghimire,2,4,2,2,partially factual,3,2,50,polite,3,positive,3,moderate,2,5,4,3,factual,5,5,80,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,5.0,90.0,polite,5.0,positive,4.0,none,2,5,4,2,factual,4,4,4,polite,5,positive,4,low,3,4,4,3,factual,4,4,85,polite,5,positive,3,low
27,Ashish-Saraf,1,4,1,1,unfactual,3,2,40,polite,3,positive,2,high,2,5,4,2,factual,4,4,75,polite,5,positive,5,low,3.0,5.0,5.0,4.0,factual,5.0,5.0,90.0,polite,5.0,positive,4.0,none,2,5,4,2,factual,4,4,4,polite,5,positive,3,low,2,4,4,3,factual,4,4,85,polite,5,positive,3,low
151,Reviewer-U9Yx,5,4,4,5,factual,4,4,77,neutral,3,negative,5,low,5,5,4,5,factual,4,5,85,polite,5,neutral,5,none,3.0,4.0,4.0,4.0,partially factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,low,4,4,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
151,Reviewer-E1PQ,3,4,3,3,partially factual,3,4,60,polite,3,negative,3,none,3,3,3,3,partially factual,4,4,65,polite,4,neutral,4,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,none,3,4,3,3,factual,4,4,70,neutral,4,neutral,4,low,2,4,3,3,partially factual,3,4,75,polite,4,neutral,4,low
151,Reviewer-27ee,4,4,5,4,factual,4,4,90,neutral,4,negative,4,none,5,5,5,5,factual,5,5,100,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,5,4,4,4,factual,4,4,88,polite,5,neutral,5,low
151,Reviewer-9Yao,3,4,3,3,partially factual,3,4,65,neutral,4,neutral,3,moderate,4,5,4,4,partially factual,4,4,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,neutral,3.0,none,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,4,4,3,4,partially factual,3,3,75,polite,4,neutral,4,low
31,Obinna-Ikechukwu-Ekwunife,5,5,4,3,partially factual,3,5,77,polite,5,positive,5,none,2,5,4,1,factual,4,4,80,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,5.0,90.0,polite,5.0,positive,4.0,none,2,4,3,2,factual,4,4,60,polite,4,positive,3,low,3,4,4,3,factual,4,4,85,polite,5,positive,3,low
31,Brian-Van-Wyk,5,5,5,5,factual,5,5,95,polite,5,positive,5,none,4,5,4,5,factual,5,5,95,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,5.0,80.0,polite,5.0,positive,4.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
31,Catherine-Kegakilwe-Koofhethile,5,5,5,5,factual,3,5,87,polite,5,positive,5,none,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3.0,5.0,4.0,4.0,factual,4.0,5.0,80.0,polite,5.0,positive,5.0,none,3,5,4,3,factual,4,4,80,polite,5,positive,4,low,3,5,4,4,factual,4,4,85,polite,5,positive,5,low
198,Reviewer-vL8H,2,4,2,2,partially factual,3,2,50,polite,3,positive,3,moderate,4,4,3,4,5,4,4,78,polite,5,neutral,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,3,4,4,4,factual,4,4,80,polite,5,neutral,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
198,Reviewer-TxAH,5,4,4,4,factual,4,4,85,polite,3,neutral,5,low,4,4,5,4,5,5,5,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
198,Reviewer-jPtV,3,3,2,2,partially factual,3,2,60,polite,3,positive,3,low,4,4,4,4,5,4,4,75,3,5,2,4,2,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
198,Reviewer-mUwv,5,5,5,5,factual,3,4,95,polite,5,positive,4,none,5,5,5,5,factual,5,5,95,polite,5,positive,5,none,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,5,4,4,factual,4,4,88,polite,5,positive,5,low
198,Reviewer-A2TK,2,4,2,2,partially factual,3,2,50,polite,3,positive,3,low,5,5,4,5,partially factual,5,5,85,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,4,low,4,4,3,4,partially factual,3,3,78,polite,5,positive,4,low
95,Reviewer-jG7C,4,4,3,4,partially factual,4,3,75,polite,4,neutral,3,low,5,5,5,5,factual,5,5,88,polite,5,neutral,5,low,1.0,4.0,4.0,2.0,partially factual,1.0,2.0,60.0,polite,3.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
95,Reviewer-2nwv,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,5,4,4,5,partially factual,5,5,88,polite,5,neutral,5,moderate,2.0,5.0,4.0,3.0,factual,3.0,4.0,80.0,polite,4.0,neutral,5.0,low,4,4,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
95,Reviewer-Qkvr,3,4,3,3,partially factual,3,3,70,polite,4,neutral,4,moderate,4,5,4,4,factual,4,4,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,positive,3.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,3,4,partially factual,4,4,85,polite,5,positive,4,low
95,Reviewer-mRm5,4,4,4,4,factual,4,4,75,polite,3,neutral,4,low,4,4,4,5,factual,5,5,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,3.0,4.0,80.0,polite,5.0,neutral,5.0,none,3,4,4,3,factual,4,4,75,neutral,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
7,Reviewer-Yoim,4,4,3,4,factual,4,3,80,polite,4,positive,3,low,5,4,4,5,partially factual,5,5,85,polite,5,neutral,5,none,3.0,4.0,4.0,4.0,5,4.0,4.0,80.0,4,5.0,3,5.0,2,4,4,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
7,Reviewer-Bu9r,4,4,4,3,factual,3,4,80,neutral,4,negative,4,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,5,4,5,5,factual,5,5,90,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
7,Reviewer-GnyW,5,5,4,5,factual,5,4,90,polite,5,positive,4,low,5,5,5,5,factual,5,5,85,polite,5,positive,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
7,Reviewer-GJR1,1,3,2,1,factual,1,1,40,impolite,1,negative,2,high,4,4,4,4,partially factual,5,5,75,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,2,3,3,2,partially factual,3,3,60,neutral,4,neutral,4,moderate,2,4,3,3,partially factual,3,3,65,polite,4,neutral,4,low
7,Reviewer-CrLf,4,4,4,4,factual,4,4,80,neutral,4,neutral,3,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,3.0,2.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,low,4,3,4,4,factual,5,4,85,polite,5,positive,5,low,3,2,4,4,partially factual,4,4,75,polite,5,neutral,3,low
102,Reviewer-n6Pj,4,4,4,4,factual,4,4,85,polite,4,neutral,4,low,5,4,4,5,5,5,5,85,polite,5,neutral,5,moderate,2.0,5.0,4.0,3.0,factual,3.0,4.0,80.0,polite,4.0,neutral,5.0,low,4,4,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
